,GEO,Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A),Gender (3),VALUE
0,Alberta,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021,Total - Gender,3375130
1,Alberta,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021,Men+,1675855
2,Alberta,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021,Women+,1699275
3,Alberta,Occupation - not applicable,Total - Gender,953020
4,Alberta,Occupation - not applicable,Men+,401960
5,Alberta,Occupation - not applicable,Women+,551055
6,Alberta,All occupations,Total - Gender,2422110
7,Alberta,All occupations,Men+,1273895
8,Alberta,All occupations,Women+,1148215
9,Alberta,0 Legislative and senior management occupations,Total - Gender,24445
10,Alberta,0 Legislative and senior management occupations,Men+,17320
11,Alberta,0 Legislative and senior management occupations,Women+,7125
12,Alberta,00 Legislative and senior managers,Total - Gender,24445
13,Alberta,00 Legislative and senior managers,Men+,17320
14,Alberta,00 Legislative and senior managers,Women+,7125
15,Alberta,000 Legislative and senior managers,Total - Gender,24445
16,Alberta,000 Legislative and senior managers,Men+,17320
17,Alberta,000 Legislative and senior managers,Women+,7125
18,Alberta,0001 Legislative and senior managers,Total - Gender,24445
19,Alberta,0001 Legislative and senior managers,Men+,17320
20,Alberta,0001 Legislative and senior managers,Women+,7125
21,Alberta,00010 Legislators,Total - Gender,1165
22,Alberta,00010 Legislators,Men+,610
23,Alberta,00010 Legislators,Women+,550
24,Alberta,00018 Seniors managers - public and private sector,Total - Gender,23285
25,Alberta,00018 Seniors managers - public and private sector,Men+,16710
26,Alberta,00018 Seniors managers - public and private sector,Women+,6580
27,Alberta,"1 Business, finance and administration occupations",Total - Gender,403300
28,Alberta,"1 Business, finance and administration occupations",Men+,117240
29,Alberta,"1 Business, finance and administration occupations",Women+,286065
30,Alberta,"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",Total - Gender,43725
31,Alberta,"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",Men+,20185
32,Alberta,"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",Women+,23540
33,Alberta,"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",Total - Gender,43725
34,Alberta,"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",Men+,20185
35,Alberta,"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",Women+,23540
36,Alberta,1001 Administrative services managers,Total - Gender,21425
37,Alberta,1001 Administrative services managers,Men+,9455
38,Alberta,1001 Administrative services managers,Women+,11970
39,Alberta,10010 Financial managers,Total - Gender,6970
40,Alberta,10010 Financial managers,Men+,2720
41,Alberta,10010 Financial managers,Women+,4250
42,Alberta,10011 Human resources managers,Total - Gender,5785
43,Alberta,10011 Human resources managers,Men+,2070
44,Alberta,10011 Human resources managers,Women+,3710
45,Alberta,10012 Purchasing managers,Total - Gender,3460
46,Alberta,10012 Purchasing managers,Men+,2215
47,Alberta,10012 Purchasing managers,Women+,1245
48,Alberta,10019 Other administrative services managers,Total - Gender,5210
49,Alberta,10019 Other administrative services managers,Men+,2445
50,Alberta,10019 Other administrative services managers,Women+,2755
51,Alberta,1002 Managers in financial and business services,Total - Gender,21180
52,Alberta,1002 Managers in financial and business services,Men+,9930
53,Alberta,1002 Managers in financial and business services,Women+,11245
54,Alberta,"10020 Insurance, real estate and financial brokerage managers",Total - Gender,3580
55,Alberta,"10020 Insurance, real estate and financial brokerage managers",Men+,2055
56,Alberta,"10020 Insurance, real estate and financial brokerage managers",Women+,1520
57,Alberta,"10021 Banking, credit and other investment managers",Total - Gender,7015
58,Alberta,"10021 Banking, credit and other investment managers",Men+,3335
59,Alberta,"10021 Banking, credit and other investment managers",Women+,3680
60,Alberta,"10022 Advertising, marketing and public relations managers",Total - Gender,7635
61,Alberta,"10022 Advertising, marketing and public relations managers",Men+,3040
62,Alberta,"10022 Advertising, marketing and public relations managers",Women+,4590
63,Alberta,10029 Other business services managers,Total - Gender,2950
64,Alberta,10029 Other business services managers,Men+,1500
65,Alberta,10029 Other business services managers,Women+,1455
66,Alberta,1003 Managers in communication (except broadcasting),Total - Gender,1125
67,Alberta,1003 Managers in communication (except broadcasting),Men+,795
68,Alberta,1003 Managers in communication (except broadcasting),Women+,325
69,Alberta,10030 Telecommunication carriers managers,Total - Gender,1125
70,Alberta,10030 Telecommunication carriers managers,Men+,795
71,Alberta,10030 Telecommunication carriers managers,Women+,325
